"PPMessage","PPMessage | Open Source Plug & Play Customer Communication Platform"
"site_description","PPMessage - Open Source Plug & Play Customer Communication Platform"
"site_keywords","PPMessage,mobile customer service,customer communication,in-app message,intercom alternative,instant message SDK, python IM system, open source customer service, online customer service"
"online_service_platform","Online Service Platform"

"menu_main","Home"
"menu_doc","Documentation"
"menu_download","Download"

"company_name","Beijing Yourui Technology Co., Ltd."
"site_record_number","13021343-2"
"service_terms","Terms"
"privacy_policy","Privacy"

"slogan","Open Source Plug & Play Customer Communication Platform"
"simple_slogan","plug and play communication platform"

"register_to_use","Using PPMessage"
"free_register","Register"
"get_started","Go to PPMessage"
"get_started_free","Get started with PPMessage for free"

"blog",Blog
"bbs",BBS
"forum",Forum
"today",TODAY

"get_ppmessage","Get PPMessage"
"download_ppmessage","Download PPMessage"
"install_ppmessage","Install PPMessage to keep touch with your customer"

"scan_qrcode","Scan qrcode to download app"
"comming_soon", "incomming"
