"PPMessage","PPMessage | 开源、即插即用、开放的客户服务通讯平台"
"site_description","PPMessage - 开源、即插即用、开放的客户服务通讯平台"
"site_keywords","PPMessage,PP消息,PP客服,在线客服,开源客服,人工客服,客服软件,客服平台,手机客服,智能客服,客服系统,客服机器人,客服SDK,应用内客服,开源智齿,开源环信,开源融云,开源Intercom,开源Layer,开源微信,企业微信,企业即时通讯,开源CRM,Python IM,Python 微信,开源企业微信,开源企业即时通讯"
"online_service_platform","在线客服平台"

"menu_main","首页"
"menu_doc","文档"
"menu_download","下载"

"company_name","北京优锐科技有限公司"
"site_record_number","京ICP备13021343号-2"
"service_terms","服务条款"
"privacy_policy","隐私政策"

"slogan","极致易用的开源在线客服解决方案"
"simple_slogan","即插即用通讯平台"

"get_started","开始使用PPMessage"
"get_started_free","免费开始使用PPMessage"

"blog",博客
"bbs",论坛
"forum",论坛
"today",今天

"get_ppmessage","下载PPMessage"
"download_ppmessage","下载 PPMessage"
"install_ppmessage","安装PPMessage，时刻与您的客户保持沟通"

"scan_qrcode","扫描二维码下载应用"
"comming_soon", "即将推出"
